tx_date,addr,name,symbol,count,rolling_7,rolling_30,rolling_180,ema
2018-02-23,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,298,,,,
2018-02-24,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,291,,,,
2018-02-25,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,267,,,,
2018-02-26,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,737,,,,
2018-02-27,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,1081,,,,
2018-02-28,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,338,,,,
2018-03-01,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,363,482.1,,,
2018-03-02,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,319,485.1,,,
2018-03-03,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,295,485.7,,,
2018-03-04,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,271,486.3,,,
2018-03-05,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,303,424.3,,,
2018-03-06,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,312,314.4,,,
2018-03-07,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,339,314.6,,,
2018-03-08,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,319,308.3,,,
2018-03-09,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,315,307.7,,,
2018-03-10,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,292,307.3,,,
2018-03-11,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,198,296.9,,,
2018-03-12,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,194,281.3,,,
2018-03-13,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,315,281.7,,,
2018-03-14,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,335,281.1,,,
2018-03-15,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,317,280.9,,,
2018-03-16,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,292,277.6,,,
2018-03-17,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,222,267.6,,,
2018-03-18,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,347,288.9,,,
2018-03-19,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,234,294.6,,,
2018-03-20,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,243,284.3,,,
2018-03-21,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,452,301.0,,,
2018-03-22,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,302,298.9,,,
2018-03-23,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,289,298.4,,,
2018-03-24,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,209,296.6,336.3,,
2018-03-25,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,210,277.0,333.4,,
2018-03-26,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,611,330.9,344.0,,
2018-03-27,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,521,370.6,352.5,,
2018-03-28,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,279,345.9,337.2,,
2018-03-29,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,274,341.9,310.3,,
2018-03-30,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,321,346.4,309.8,,
2018-03-31,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,235,350.1,305.5,,
2018-04-01,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,241,354.6,302.9,,
2018-04-02,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,187,294.0,299.3,,
2018-04-03,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,323,265.7,301.0,,
2018-04-04,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,198,254.1,297.5,,
2018-04-05,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,534,291.3,304.9,,
2018-04-06,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,260,282.6,302.3,,
2018-04-07,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,213,279.4,298.8,,
2018-04-08,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,234,278.4,296.1,,
2018-04-09,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,279,291.6,295.6,,
2018-04-10,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,222,277.1,296.4,,
2018-04-11,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,319,294.4,300.6,,
2018-04-12,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,313,262.9,300.5,,
2018-04-13,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,348,275.4,301.0,,
2018-04-14,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,264,282.7,299.2,,
2018-04-15,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,335,297.1,300.6,,
2018-04-16,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,275,296.6,302.4,,
2018-04-17,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,483,333.9,306.9,,
2018-04-18,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,600,374.0,319.1,,
2018-04-19,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,438,391.9,325.6,,
2018-04-20,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,344,391.3,322.0,,
2018-04-21,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,344,402.7,323.4,,
2018-04-22,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,404,412.6,327.3,,
2018-04-23,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,695,472.6,343.5,,
2018-04-24,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,590,487.9,356.1,,
2018-04-25,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,572,483.9,354.8,,
2018-04-26,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,547,499.4,355.7,,
2018-04-27,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,423,510.7,360.5,,
2018-04-28,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,394,517.9,364.5,,
2018-04-29,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,468,527.0,369.4,,
2018-04-30,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,462,493.7,377.0,,
2018-05-01,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,375,463.0,381.4,,
2018-05-02,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,522,455.9,392.6,,
2018-05-03,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,1007,521.6,415.4,,
2018-05-04,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,1041,609.9,443.5,,
2018-05-05,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,837,673.1,453.6,,
2018-05-06,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,520,680.6,462.3,,
2018-05-07,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,729,718.7,479.5,,
2018-05-08,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,1181,833.9,511.0,,
2018-05-09,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,762,868.1,527.1,,
2018-05-10,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,1260,904.3,561.7,,
2018-05-11,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,807,870.9,578.0,,
2018-05-12,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,599,836.9,587.5,,
2018-05-13,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,476,830.6,591.8,,
2018-05-14,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,568,807.6,601.9,,
2018-05-15,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,555,718.1,609.3,,
2018-05-16,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,485,678.6,616.3,,
2018-05-17,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,430,560.0,614.5,,
2018-05-18,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,330,491.9,605.5,,
2018-05-19,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,314,451.1,601.4,,
2018-05-20,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,378,437.1,602.5,,
2018-05-21,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,406,414.0,604.6,,
2018-05-22,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,403,392.3,604.5,,
2018-05-23,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,1197,494.0,621.3,,
2018-05-24,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,825,550.4,629.1,,
2018-05-25,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,455,568.3,625.2,,
2018-05-26,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,330,570.6,618.0,,
2018-05-27,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,317,561.9,614.4,,
2018-05-28,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,331,551.1,612.3,,
2018-05-29,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,453,558.3,611.8,,
2018-05-30,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,597,472.6,616.3,,
2018-05-31,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,406,412.7,617.4,,
2018-06-01,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,285,388.4,609.5,,
2018-06-02,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,440,404.1,590.6,,
2018-06-03,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,299,401.6,565.8,,
2018-06-04,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,335,402.1,549.1,,
2018-06-05,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,262,374.9,540.5,,
2018-06-06,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,304,333.0,526.3,,
2018-06-07,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,317,320.3,497.5,,
2018-06-08,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,241,314.0,480.2,,
2018-06-09,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,215,281.9,445.3,,
2018-06-10,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,339,287.6,429.7,,
2018-06-11,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,320,285.4,420.4,,
2018-06-12,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,511,321.0,421.6,,
2018-06-13,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,424,338.1,416.8,,
2018-06-14,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,342,341.7,409.7,,
2018-06-15,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,252,343.3,401.9,,
2018-06-16,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,236,346.3,395.5,,
2018-06-17,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,184,324.1,390.6,,
2018-06-18,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,311,322.9,390.5,,
2018-06-19,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,316,295.0,388.4,,
2018-06-20,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,534,310.7,392.7,,
2018-06-21,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,343,310.9,390.7,,
2018-06-22,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,361,326.4,362.8,,
2018-06-23,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,213,323.1,342.4,,
2018-06-24,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,292,338.6,337.0,,
2018-06-25,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,274,333.3,335.1,,
2018-06-26,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,233,321.4,332.3,,
2018-06-27,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,236,278.9,329.2,,
2018-06-28,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,254,266.1,322.5,,
2018-06-29,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,293,256.4,312.4,,
2018-06-30,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,340,274.6,310.2,,
2018-07-01,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,175,257.9,306.5,,
2018-07-02,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,351,268.9,303.6,,
2018-07-03,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,270,274.1,302.6,,
2018-07-04,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,235,274.0,299.3,,
2018-07-05,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,499,309.0,307.2,,
2018-07-06,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,267,305.3,305.9,,
2018-07-07,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,260,293.9,304.0,,
2018-07-08,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,323,315.0,306.8,,
2018-07-09,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,327,311.6,310.5,,
2018-07-10,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,279,312.9,308.5,,
2018-07-11,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,327,326.0,308.7,,
2018-07-12,0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX,233,288.0,299.5,,
